first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost
Granit,Xhaka,7,8,2992,35,673.3,647.0,498.0,182.0,13,0,4,48
Mohamed,Elneny,0,0,111,2,5.4,4.6,0.0,1.1,0,0,0,41
Rob,Holding,1,0,562,13,10.3,152.0,54.0,21.6,0,0,0,42
Thomas,Partey,3,0,2480,28,439.6,513.2,240.0,119.5,11,0,5,47
Martin,Ødegaard,15,8,3132,38,1100.4,960.0,920.0,298.3,13,0,4,69
Kieran,Tierney,0,1,774,10,85.5,144.0,67.0,29.9,1,0,0,46
Nicolas,Pépé,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,53
Benjamin,White,2,5,3054,35,491.2,649.0,159.0,130.0,15,0,5,50
Eddie,Nketiah,4,2,1071,16,128.2,213.4,598.0,93.1,2,0,3,63
Emile,Smith Rowe,0,2,161,5,64.3,36.6,39.0,13.8,0,0,0,56
Bukayo,Saka,14,12,3183,42,1091.8,972.2,1164.0,322.8,12,0,6,80
Takehiro,Tomiyasu,0,1,651,11,86.6,137.0,55.0,27.7,2,0,2,42
Aaron,Ramsdale,0,0,3420,43,0.0,761.4,0.0,76.2,14,0,1,48
Gabriel,dos Santos Magalhães,3,0,3409,43,129.7,733.8,401.0,126.5,14,0,5,52
Nuno,Varela Tavares,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Gabriel,Martinelli Silva,15,9,2789,33,838.1,844.2,1300.0,298.1,14,0,3,65
Pablo,Marí Villar,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Lucas,Torreira di Pascua,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Reiss,Nelson,3,3,202,3,99.2,169.8,155.0,42.4,1,0,0,47
Matt,Turner,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,38
Fábio,Ferreira Vieira,1,2,500,5,180.1,115.2,123.0,41.4,2,0,0,56
