first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,element_type
Conor,Bradley,0,2,744,10,110.5,156.2,162.0,42.8,3,0,4,47,DEF
Bobby,Clark,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Darwin,Núñez Ribeiro,5,3,1113,21,151.6,263.8,404.0,81.2,2,0,8,70,FWD
Diogo,Teixeira da Silva,6,4,1182,12,169.5,300.6,537.0,99.0,7,0,2,72,MID
Ben,Doak,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Harvey,Elliott,1,2,359,6,145.8,118.6,143.0,40.4,0,0,1,52,MID
Endo,Wataru,0,0,259,5,38.2,57.6,6.0,10.0,0,0,0,46,MID
Cody,Gakpo,10,5,1921,25,517.7,597.0,686.0,180.3,5,0,5,72,FWD
Joe,Gomez,0,0,517,8,38.5,130.4,58.0,22.8,1,0,1,47,DEF
Ryan,Gravenberch,0,4,3160,35,473.9,550.6,121.0,114.7,14,1,5,50,MID
Curtis,Jones,3,5,1702,27,343.7,397.2,400.0,113.6,6,1,1,53,MID
Caoimhin,Kelleher,0,0,900,12,0.0,224.2,0.0,22.4,4,0,0,39,GK
Ibrahima,Konaté,1,2,2561,28,161.4,578.0,133.0,87.6,11,0,5,53,DEF
Luis,Díaz,13,7,2393,21,748.0,770.8,946.0,246.4,15,0,2,75,MID
Mohamed,Salah,29,18,3374,40,1199.2,1577.0,1985.0,476.0,15,0,1,136,MID
Alexis,Mac Allister,5,6,2597,24,731.3,653.4,357.0,174.1,14,0,6,62,MID
James,McConnell,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43,MID
Tyler,Morton,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44,MID
Nathaniel,Phillips,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Jarell,Quansah,0,0,488,12,29.1,119.4,15.0,16.5,0,0,2,39,DEF
Rhys,Williams,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Andrew,Robertson,0,1,2479,32,668.7,395.4,182.0,124.4,10,1,3,58,DEF
Dominik,Szoboszlai,6,10,2485,29,794.8,589.8,601.0,198.1,12,0,6,61,MID
Konstantinos,Tsimikas,0,1,829,8,260.7,202.0,60.0,52.5,4,0,2,46,DEF
Virgil,van Dijk,3,1,3330,38,206.6,932.6,299.0,143.7,14,0,5,67,DEF
Federico,Chiesa,0,0,103,3,23.5,9.0,36.0,6.7,0,0,0,68,MID
Vítezslav,Jaros,0,0,11,0,0.0,8.8,0.0,0.9,0,0,0,40,GK
Harvey,Davies,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Treymaurice,Nyoni,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Amara,Nallo,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Jayden,Danns,0,0,10,1,0.3,0.0,0.0,0.0,0,0,0,45,FWD
Arne,Slot,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,15,AM
Manuel,Akanji,0,0,2012,28,249.8,339.8,100.0,68.9,6,0,3,53,DEF
Nathan,Aké,0,0,677,11,33.7,104.6,20.0,15.9,3,0,0,53,DEF
Bernardo,Veiga de Carvalho e Silva,4,4,2667,36,800.4,603.0,532.0,193.6,10,0,7,61,MID
Oscar,Bobb,0,0,14,1,12.6,4.4,0.0,1.6,0,0,0,47,MID
Scott,Carson,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39,GK
Kevin,De Bruyne,4,9,1694,19,920.0,466.6,411.0,179.5,10,0,2,95,MID
Jérémy,Doku,3,6,1506,14,515.9,453.8,528.0,150.0,8,0,1,62,MID
Ederson,Santana de Moraes,0,4,2320,26,43.0,567.0,0.0,60.9,10,0,4,53,GK
Phil,Foden,7,3,1771,24,749.0,448.0,449.0,164.2,6,0,2,91,MID
Jack,Grealish,1,1,710,10,321.4,157.2,234.0,71.3,2,0,3,64,MID
Joško,Gvardiol,5,0,3278,41,501.7,847.0,497.0,185.0,13,0,2,65,DEF
Erling,Haaland,22,3,2736,38,359.4,946.0,1511.0,281.8,10,0,2,149,FWD
Julián,Álvarez,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,70,FWD
João,Cavaco Cancelo,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,53,DEF
Mateo,Kovačić,6,3,2194,29,579.3,606.4,204.0,139.1,10,1,5,54,MID
Rico,Lewis,1,2,1888,27,218.6,293.8,139.0,65.0,5,1,3,43,DEF
Matheus Luiz,Nunes,1,7,1670,19,422.4,370.4,206.0,99.9,9,0,4,49,MID
James,McAtee,3,0,340,6,64.6,113.0,136.0,30.7,0,0,1,46,MID
Stefan,Ortega Moreno,0,0,1099,18,0.0,292.6,0.0,29.4,3,0,1,52,GK
Rodrigo 'Rodri',Hernandez,0,0,72,1,17.5,12.2,0.0,3.0,0,0,0,62,MID
Rúben,Gato Alves Dias,0,0,2269,21,173.8,478.2,150.0,80.2,11,0,4,55,DEF
John,Stones,2,0,544,11,49.8,155.6,70.0,27.4,1,0,1,53,DEF
Kyle,Walker,0,0,966,21,147.7,157.4,29.0,33.5,0,0,3,51,DEF
Sávio 'Savinho',Moreira de Oliveira,1,11,1760,25,682.9,415.2,671.0,177.3,8,0,3,60,MID
Nico,O'Reilly,2,0,525,3,76.2,133.4,112.0,32.2,3,0,0,49,MID
Ilkay,Gündogan,1,7,2218,28,781.3,387.0,273.0,144.2,10,0,1,63,MID
Issa,Kaboré,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,DEF
Jacob,Wright,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Jahmai,Simpson-Pusey,0,0,95,2,2.2,19.6,2.0,2.4,0,0,1,40,DEF
Josh,Wilson-Esbrand,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Divin,Mubama,0,0,27,0,0.1,0.2,5.0,0.5,0,0,0,45,FWD
Max,Alleyne,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Spike,Brits,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Abdukodir,Khusanov,0,0,503,6,33.9,102.0,4.0,14.1,2,0,1,50,DEF
