first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost
Jake,Eastwood,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43
Mark,Duffy,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,52
John,Fleck,5,2,2515,30,648.8,527.4,419.0,159.6,8,0,8,47
Oliver,Norwood,1,3,3089,36,808.8,608.4,100.0,151.8,13,0,8,47
David,McGoldrick,2,2,1810,18,268.4,303.4,584.0,115.2,7,0,2,54
Chris,Basham,0,1,3242,37,212.1,707.6,103.0,102.7,13,0,4,46
Simon,Moore,0,0,180,6,0.0,28.0,0.0,2.8,0,0,0,43
Luke,Freeman,0,0,360,5,77.4,46.2,25.0,14.9,1,0,2,50
Phil,Jagielka,0,0,240,6,4.8,75.4,2.0,8.2,0,0,0,41
Callum,Robinson,1,2,669,6,72.8,79.8,156.0,30.4,2,0,1,49
Ravel,Morrison,0,0,12,0,0.6,0.0,4.0,0.2,0,0,0,45
Dean,Henderson,0,1,3240,33,10.0,718.8,18.0,74.8,13,0,2,52
Ben,Osborn,0,0,590,4,108.5,78.4,65.0,25.3,2,0,0,47
Oliver,McBurnie,6,1,2105,25,186.9,424.4,830.0,143.7,9,0,4,55
Michael,Verrips,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44
Muhamed,Bešić,0,0,243,2,21.5,34.2,29.0,8.5,0,0,2,43
Leon,Clarke,0,0,33,2,1.6,4.0,6.0,1.0,0,0,0,44
Jack,Rodwell,0,0,15,0,0.0,1.2,0.0,0.1,0,0,0,45
Jack,Robinson,0,0,504,11,30.4,106.8,2.0,14.0,1,0,0,40
Sander,Berge,1,1,943,11,66.0,152.4,82.0,30.3,4,0,0,47
Richairo,Zivkovic,0,0,107,4,28.6,9.4,22.0,6.1,0,0,0,47
Panagiotis,Retsos,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Jannik,Vestergaard,1,0,1496,26,81.3,363.8,183.0,62.8,4,0,3,45
Ryan,Bertrand,1,1,2742,52,538.5,436.8,234.0,121.1,7,1,3,48
Yan,Valery,0,1,778,20,44.2,112.0,77.0,23.3,1,0,1,46
Jan,Bednarek,1,1,3057,57,45.5,729.8,95.0,87.5,7,0,4,44
Jack,Stephens,1,3,2451,39,101.5,566.2,97.0,76.6,7,1,4,44
Maya,Yoshida,0,0,558,18,3.7,96.8,77.0,17.7,1,0,1,41
Kayne,Ramsay,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39
