first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards
Abel,Hern�ndez,4,4,1425,23,190.4,219.4,532,93.6,4,0,0
Adama,Diomande,2,0,1171,29,195.4,141.0,259,58.7,2,0,1
Kasper,Schmeichel,0,0,2666,47,0.0,757.4,0,75.8,8,0,1
Ron-Robert,Zieler,0,0,754,16,0.0,136.0,2,13.9,1,0,0
Wes,Morgan,1,1,2430,45,48.4,480.0,284,81.4,5,0,3
Christian,Fuchs,2,4,3103,57,536.4,802.0,152,149.4,8,0,10
Jeffrey,Schlupp,0,2,1139,17,100.4,214.2,65,38.1,3,0,0
Marcin,Wasilewski,0,0,90,2,0.3,10.8,0,1.1,0,0,0
Ritchie,de Laet,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Danny,Simpson,0,3,2988,50,199.0,531.2,50,77.9,9,0,12
Robert,Huth,2,2,2926,49,69.4,701.0,477,124.9,9,0,9
Yohan,Benalouane,0,0,917,15,22.0,158.2,54,23.6,4,0,4
Luis,Hern�ndez,0,0,327,8,62.0,57.6,0,12.0,0,0,1
Riyad,Mahrez,6,4,2826,48,802.1,573.0,898,227.8,9,0,4
Marc,Albrighton,2,6,2412,47,719.8,483.8,272,147.6,8,0,5
Andy,King,1,0,1446,26,122.7,258.4,167,54.9,1,0,4
Daniel,Drinkwater,1,1,2466,44,307.1,401.8,213,92.0,8,0,6
G�khan,Inler,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Demarai,Gray,1,4,1049,20,268.8,220.4,233,72.2,4,0,2
Daniel,Amartey,1,1,1673,35,204.0,254.4,109,57.0,4,0,3
Nampalys,Mendy,0,0,269,5,24.9,16.8,0,4.0,1,0,1
Jamie,Vardy,13,8,2801,57,450.4,629.8,955,202.5,7,1,2
Leonardo,Ulloa,1,0,447,5,55.7,60.8,262,37.4,2,0,0
Shinji,Okazaki,3,1,1565,26,262.0,181.2,471,90.4,7,0,1
Ahmed,Musa,2,0,761,20,120.8,132.6,232,47.7,1,0,1
Simon,Mignolet,0,0,2520,30,0.0,461.2,0,46.0,9,0,0
Loris,Karius,0,0,900,12,0.0,149.4,0,15.0,3,0,0
Mamadou,Sakho,0,0,686,6,48.7,143.4,40,23.2,4,0,0
Dejan,Lovren,2,1,2553,31,119.2,715.4,236,107.1,11,0,6
Alberto,Moreno,0,1,305,7,78.3,64.6,32,17.5,0,0,1
Nathaniel,Clyne,0,2,3323,41,716.5,512.0,294,152.4,12,0,0
Jon,Flanagan,0,0,360,4,16.4,63.8,0,8.0,1,0,2
Joseph,Gomez,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Connor,Randall,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Bradley,Smith,0,0,269,9,30.3,28.6,27,8.6,0,0,1
Kevin,Stewart,0,0,20,0,0.4,3.6,0,0.4,0,0,0
Joel,Matip,1,0,2457,25,143.3,588.6,348,108.0,9,0,3
Leiva,Lucas,0,3,1112,17,102.9,306.4,99,51.1,4,0,4
Jordan,Henderson,1,4,2116,28,554.3,507.4,93,115.5,7,0,8
Joe,Allen,6,3,2930,49,539.8,576.8,675,179.4,10,0,9
Philippe,Coutinho,13,8,2228,27,1081.8,860.0,1125,306.5,8,0,2
Emre,Can,5,2,2371,28,544.5,512.2,500,155.3,9,0,6
Adam,Lallana,8,7,2338,32,693.0,679.4,825,219.5,9,0,3
Lazar,Markovic,2,0,1005,15,160.3,142.2,185,48.5,5,0,4
Oluwaseyi,Ojo,0,0,0,0,0.0,0.0,0,0.0,0,0,0
James,Milner,7,4,3154,35,937.0,919.0,493,235.2,12,0,5
Roberto,Firmino,11,11,3062,39,1127.3,869.6,1569,356.9,11,0,5
Cameron,Brannagan,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Pedro,Chirivella,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Sadio,Man�,13,7,2242,26,660.7,727.0,1074,246.0,8,0,4
Christian,Benteke,15,2,3131,58,484.4,640.2,1762,286.1,7,0,10
Daniel,Sturridge,3,5,775,7,207.4,202.8,492,89.7,3,0,1
Mario,Balotelli,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Danny,Ings,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Divock,Origi,7,4,1469,18,264.4,360.0,551,116.1,7,0,0
Joe,Hart,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Willy,Caballero,0,0,1452,13,0.0,266.6,0,26.8,6,0,0
Aleksandar,Kolarov,1,1,2535,27,296.4,639.0,223,116.0,9,0,6
Pablo,Zabaleta,1,1,1065,18,167.7,238.6,113,52.1,2,0,2
