first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards
Allan-Rom�o,Nyom,0,2,2638,39,214.3,461.0,109,78.3,5,0,8
Miguel,Britos,1,2,2280,36,96.7,531.2,280,90.9,6,2,6
Christian,Kabasele,2,0,771,15,49.1,200.4,166,41.7,1,0,1
Adl�ne,Gu�dioura,0,1,861,20,169.2,123.6,100,38.7,0,0,2
Etienne,Capoue,7,2,3204,60,696.8,577.6,513,178.7,7,0,5
Almen,Abdi,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Ben,Watson,0,0,54,2,1.3,5.6,0,0.6,0,1,0
Ikechi,Anya,0,0,10,0,0.0,0.0,0,0.0,0,0,0
Valon,Behrami,0,0,2030,39,101.9,208.2,24,33.6,5,0,7
Steven,Berghuis,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Nordin,Amrabat,0,3,2091,51,494.3,282.4,368,113.9,4,0,4
Mario,Su�rez,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Isaac,Success,1,1,519,9,96.7,146.2,225,46.8,1,0,2
Troy,Deeney,10,4,2944,52,555.9,617.4,900,206.8,6,0,7
Odion,Ighalo,1,1,1291,29,173.8,93.6,440,70.0,2,0,1
Mamadou Obbi,Oular�,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Jerome,Sinclair,0,0,116,1,14.3,1.0,22,3.5,0,0,0
Boaz,Myhill,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Ben,Foster,0,0,3420,51,20.3,767.0,5,79.5,6,0,2
Jonny,Evans,2,1,2637,39,117.5,626.6,259,100.6,4,0,8
Jonas,Olsson,0,0,590,13,1.1,96.4,21,12.0,1,0,3
Craig,Dawson,4,0,3276,50,317.1,742.4,418,147.9,6,0,10
S�bastien,Pocognoli,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Cristian,Gamboa,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Gareth,McAuley,6,1,3140,45,74.3,913.8,367,135.4,7,0,5
James,Chester,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Chris,Brunt,3,4,2477,37,674.5,509.4,340,153.1,4,0,5
Darren,Fletcher,2,3,3231,45,362.3,393.2,260,101.2,8,0,0
Craig,Gardner,0,1,218,6,137.9,35.4,11,18.3,1,0,1
James,Morrison,5,2,1741,22,348.9,351.0,237,93.7,4,0,3
Claudio,Yacob,0,0,2418,36,108.5,346.0,33,49.0,4,0,9
Callum,McManaman,0,0,0,0,0.0,0.0,0,0.0,0,0,0
James,McClean,1,3,1477,24,331.3,288.6,360,98.2,2,0,9
Jonathan,Leko,0,1,118,3,29.9,27.4,20,7.6,0,0,0
Matt,Phillips,4,9,2181,28,508.9,463.2,458,142.3,6,0,2
Rickie,Lambert,0,0,13,0,11.0,3.6,40,5.5,0,0,0
Saido,Berahino,0,0,963,13,73.5,38.4,299,40.0,4,0,1
Salom�n,Rond�n,8,3,2892,44,430.3,435.4,1430,227.8,6,0,2
Adri�n,San Miguel del Castillo,0,0,1440,25,10.0,367.8,0,37.7,6,0,1
Darren,Randolph,0,0,1980,39,0.0,484.8,0,48.7,4,0,1
James,Collins,2,0,1655,29,45.4,501.0,169,71.6,6,0,3
Winston,Reid,2,3,2587,48,104.4,793.6,141,104.0,9,1,8
Aaron,Cresswell,0,2,2115,35,284.7,307.6,121,71.2,5,1,2
Reece,Oxford,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Angelo,Ogbonna,0,0,1755,31,82.4,384.4,51,51.6,4,0,2
Sam,Byram,0,1,1249,27,118.2,202.2,72,39.4,3,1,5
Mark,Noble,3,0,2389,40,384.8,342.0,233,95.9,8,0,10
Cheikhou,Kouyat�,1,1,2723,46,147.4,458.8,200,80.5,9,0,3
Pedro,Obiang,1,2,1763,32,131.3,311.4,52,49.4,4,0,7
Dimitri,Payet,2,8,1513,28,1096.6,414.0,516,202.6,4,0,2
Manuel,Lanzini,8,3,2708,53,863.3,639.0,629,213.5,9,0,9
Josh,Cullen,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Michail,Antonio,9,8,2433,43,503.1,622.4,1105,222.7,7,1,4
H�vard,Nordtveit,0,1,957,20,63.3,155.4,43,26.1,3,0,2
Sofiane,Feghouli,3,3,1042,23,320.2,268.0,262,84.9,1,1,1
G�khan,T�re,0,1,240,4,87.8,28.2,33,14.6,1,0,0
Andy,Carroll,7,2,1312,27,220.8,351.8,620,119.2,3,0,3
Enner,Valencia,3,3,927,12,117.6,194.2,490,79.0,2,0,1
Diafra,Sakho,1,0,181,4,19.6,41.8,45,10.7,0,0,0
Nick,Pope,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Paul,Robinson,0,0,270,7,0.0,66.2,0,6.6,0,0,0
Johann Berg,Gudmundsson,1,3,999,19,267.3,220.0,161,64.8,3,0,1
Ragnar,Klavan,0,0,1410,19,52.5,308.2,78,44.0,3,0,3
Marko,Grujic,0,0,43,0,17.4,8.8,39,6.1,0,0,1
Jason,Denayer,0,0,1878,30,55.1,319.2,62,43.7,6,0,2
Antonio,Barrag�n,0,0,2193,32,219.0,442.2,50,71.5,7,0,5
�lvaro,Negredo,9,5,2872,45,454.9,542.4,1078,207.1,10,0,5
Juan,Zu�iga,1,1,823,15,86.4,139.8,79,30.1,1,0,1
Tommie,Hoban,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Brice,Dja Dj�dj�,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Abdoulaye,Doucour�,1,0,1352,32,178.2,179.4,254,61.1,4,0,4
Matej,Vydra,0,0,3,0,0.3,0.0,0,0.0,0,0,0
Rob,Holding,0,0,810,8,49.2,172.0,100,32.2,4,0,3
Georginio,Wijnaldum,6,9,2974,37,694.5,648.4,639,198.5,11,0,2
Ramadan,Sobhi,0,2,855,11,137.3,104.6,149,38.5,5,0,2
Ola,Aina,0,0,26,0,0.9,4.8,17,2.3,0,0,0
Idrissa,Gueye,1,2,2681,31,434.1,555.8,237,122.9,9,0,11
Leroy,San�,5,7,1781,15,505.1,397.2,632,153.7,9,0,4
Bradley,Guzan,0,0,900,17,0.0,228.4,0,22.9,3,0,0
Gast�n,Ram�rez,2,3,1539,22,509.9,287.2,364,115.6,6,1,8
J�r�my,Pied,0,0,129,1,20.7,20.6,21,6.3,0,0,0
Chuba,Akpom,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Sullay,Kaikai,0,0,24,0,1.8,0.0,4,0.5,0,0,0
Mason,Holgate,0,1,1372,18,152.2,286.8,83,52.3,5,0,2
Benjamin,Chilwell,1,0,699,18,48.4,137.0,88,27.2,1,0,2
Bartosz,Kapustka,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Jose Angel,Esmoris Tasende,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Papy,Djilobodji,0,0,1577,35,25.9,487.6,124,63.8,2,1,4
Fernando,Llorente,15,3,2442,51,489.6,639.8,1086,220.3,5,0,2
Cameron,Carter-Vickers,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Daniel,Lafferty,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Paul,Pogba,5,4,2608,21,953.5,713.0,839,250.0,13,0,7
Jack,Stephens,0,1,1471,24,58.2,350.4,58,46.6,6,0,1
Arthur,Masuaku,0,1,972,24,126.7,219.8,18,36.4,3,0,1
Donald,Love,0,1,611,11,73.6,157.6,17,24.9,1,0,1
Borja,Bast�n,1,2,561,11,91.9,59.0,190,33.1,1,0,0
Olayinka Fredrick Oladotun,Ladapo,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Keshi,Anderson,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Kane,Wilson,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Sam,Field,0,0,275,1,49.0,16.4,3,6.7,1,0,2
Tom,Davies,2,3,1544,17,246.1,259.0,208,70.9,8,0,4
Harry,Winks,1,1,494,6,122.1,128.0,77,32.8,0,0,1
Greg,Olley,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Josh,Clackstone,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Jarrod,Bowen,0,0,181,8,17.9,3.8,36,5.7,0,0,0
Dusan,Kuciak,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Greg,Luer,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Josh,Tymon,0,0,323,8,20.5,40.2,2,6.4,1,0,1
Lynden,Gooch,0,0,366,9,66.4,36.4,54,15.4,1,0,3
Joel,Asoro,0,0,10,0,0.0,0.0,2,0.2,0,0,0
Alex,Baptiste,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Trent,Alexander-Arnold,0,0,167,2,20.2,32.4,48,10.1,0,0,0
Alexander,Manninger,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Steven,Defour,1,3,1068,13,386.4,249.2,96,73.3,5,0,1
Jonathan,Calleri,1,0,540,4,115.0,56.2,265,43.2,3,0,0
Fabio Pereira,da Silva,0,0,1847,30,273.9,355.8,39,67.1,6,0,8
Pablo,Maffeo,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Luke,McGee,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Nathaniel,Chalobah,0,1,167,3,51.1,40.6,7,9.9,0,0,2
Aiden,O'Neill,0,0,85,4,5.1,7.6,8,2.1,0,0,0
Josh,Robson,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Steven,Pienaar,0,0,802,13,134.4,90.8,98,32.3,2,1,5
Reece,Burke,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Ashley,Fletcher,0,0,367,13,64.2,30.6,160,24.4,0,0,2
Ryan,Fraser,3,9,1764,32,536.5,338.4,332,120.7,7,0,3
Thomas,Robson,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Javier,Manquillo,1,0,1430,28,98.7,242.2,66,40.8,2,0,2
Roberto,Pereyra,2,3,1036,17,239.3,168.0,141,54.7,3,1,2
Daryl,Janmaat,2,1,1614,33,222.3,309.4,254,78.8,2,0,2
Claudio,Bravo,0,0,1968,26,0.0,292.2,0,28.9,6,0,0
Edimilson,Fernandes,0,1,1002,18,109.9,107.8,209,42.3,3,0,4
Hiram,Boateng,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Julien,Ngoy,0,0,49,1,12.1,7.4,46,6.5,0,0,0
Ben,Hinchcliffe,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Oliver,McBurnie,0,0,82,5,33.0,8.0,39,8.0,0,0,0
Maksymilian,Stryjek,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Jack,Rose,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Lucas,P�rez,1,1,272,2,105.4,65.4,163,32.9,1,0,0
Simone,Zaza,0,0,459,14,112.4,16.4,207,32.9,2,0,2
Sofiane,Boufal,1,1,1104,22,328.6,197.0,265,78.6,3,0,5
Stefano,Okaka,4,0,959,23,179.6,197.6,494,87.1,2,0,5
Patrick,Bamford,1,0,326,8,26.9,51.0,139,21.5,0,0,1
David,Marshall,0,0,1440,44,0.3,423.0,0,42.3,0,0,0
Shkodran,Mustafi,2,2,2274,30,159.7,598.2,364,112.4,8,0,11
Adrian,Mariappa,0,0,562,13,12.7,162.6,26,20.1,1,0,0
Will,Keane,0,0,280,10,50.1,2.8,39,8.3,1,0,0
Alfie,Mawson,4,0,2430,45,62.0,678.0,302,104.2,7,0,1
Didier,Ndong,1,1,2520,48,310.1,340.4,140,78.9,5,0,5
Jeff,Hendrick,2,1,2691,47,234.4,284.6,259,77.4,9,1,6
Marcos,Alonso,6,5,2693,19,420.4,618.2,536,157.6,15,0,2
Bruno,Martins Indi,1,0,3146,50,34.4,682.6,266,98.6,11,0,4
Adama,Traor�,0,1,1543,22,320.5,283.2,176,77.9,6,0,1
Pau,L�pez Sabata,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Georges-K�vin,Nkoudou,0,0,54,0,7.7,17.0,26,5.2,0,0,0
James,Weir,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Islam,Slimani,7,4,1281,23,268.4,338.2,516,111.3,5,0,1
�lvaro,Arbeloa,0,0,258,9,32.5,37.0,3,7.3,0,0,3
Dieumerci,Mbokani,0,2,764,16,107.3,52.4,235,39.6,3,0,0
David,Luiz Moreira Marinho,1,1,2954,26,158.1,651.0,280,109.1,15,0,6
Hal,Robson-Kanu,3,2,701,13,130.7,166.2,255,53.8,1,0,3
Moussa,Sissoko,0,3,909,5,274.2,133.0,212,61.0,4,0,3
Markus,Henriksen,0,0,638,13,62.9,52.4,60,17.4,0,0,1
Lee,Grant,0,0,2520,34,0.0,644.0,0,64.7,9,0,1
Victor,Anichebe,3,1,1219,21,195.3,210.4,505,90.4,3,0,2
Mathieu,Flamini,0,0,274,6,13.7,33.0,13,5.9,0,0,0
Michael,Sim�es Domingues,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Aleix,Garc�a Serrano,0,0,77,2,19.1,14.0,0,3.4,0,0,0
Jonathan,Benteke,0,0,7,0,0.3,5.0,9,1.4,0,0,0
Ezekiel,Fryers,0,1,188,7,36.3,41.6,8,8.6,0,0,0
Luke,Dreher,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Oviemuno,Ejaria,0,0,8,0,1.3,0.0,2,0.3,0,0,0
Ben,Hamer,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Lloyd,Isgrove,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Ben,Wynter,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Jake,Hesketh,0,0,0,0,0.0,0.0,0,0.0,0,0,0
George,Honeyman,0,0,235,4,42.7,34.2,29,10.6,1,0,1
Jeff,Reine-Adelaide,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Olufela,Olomola,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Dominic,Solanke,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Raphael,Spiegel,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Sam,McQueen,0,1,616,9,58.4,123.6,25,20.8,1,0,0
Ainsley,Maitland-Niles,0,0,2,0,0.0,2.2,0,0.2,0,0,0
Kevin,Long,0,0,270,6,0.2,56.4,4,6.1,0,0,0
Dominic,Calvert-Lewin,1,0,347,7,10.0,53.2,82,14.1,0,0,1
Mateusz,Hewelt,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Stuart,Taylor,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Daniel,James,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Thibaud,Verlinden,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Ryan,Allsop,0,0,90,1,0.0,33.8,0,3.4,0,0,0
Alex,Palmer,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Matthew,James,0,0,1,0,0.0,0.0,0,0.0,0,0,0
Ben,Woodburn,0,0,86,1,12.6,7.4,34,5.4,0,0,0
Joshua,Sims,0,1,211,1,38.2,41.8,83,16.3,1,0,0
Andrew,Eleftheriou,0,0,52,2,0.8,5.2,0,0.6,0,0,0
Michael,Phillips,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Oluwatosin,Adarabioyo,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Alex,Pike,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Marcus,Browne,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Domingos,Quina,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Noor,Husin,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Aaron,Wan-Bissaka,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Josh,Maja,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Rekeem,Harper,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Ethan,Robson,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Jonjoe,Kenny,0,0,13,0,0.6,0.0,0,0.0,0,0,0
Elliot,Embleton,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Declan,Rice,0,0,1,0,0.3,0.6,0,0.1,0,0,0
Charlie,Rowan,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Michael,Folivi,0,0,10,0,0.1,0.0,0,0.0,0,0,0
Brandon,Mason,0,0,113,5,0.8,11.4,0,1.2,0,0,0
Carl,Stewart,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Harry,Lewis,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Michael,Ledger,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Gabriel Fernando,de Jesus,7,4,651,5,165.9,335.8,436,92.9,3,0,2
Joey,Barton,1,2,1105,16,147.4,184.8,86,41.9,4,0,4
Ademola,Lookman,1,0,289,2,15.5,55.8,193,26.1,1,0,0
Wilfred,Ndidi,2,3,1521,28,93.8,313.6,357,76.4,4,0,0
Rudy,Gestede,1,0,533,12,148.4,79.4,254,48.1,1,0,3
Evandro,Goebel,0,0,576,10,171.0,42.4,20,23.2,3,0,1
Joel,Taylor,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Luciano,Narsingh,0,3,416,8,105.7,74.4,60,23.9,1,0,0
Martin,Olsson,2,0,1252,18,149.5,262.0,114,52.6,4,0,2
Omar,Elabdellaoui,0,0,615,16,70.4,84.6,8,16.4,1,0,0
Joleon,Lescott,0,0,124,5,0.3,39.0,0,3.9,0,0,0
Mauro,Z�rate,0,1,204,3,52.8,18.8,71,14.3,0,0,0
M'Baye,Niang,2,2,1246,27,186.3,190.0,364,73.4,3,0,2
Andrea,Ranocchia,2,2,1330,31,39.0,444.4,158,64.2,3,0,2
Giedrius,Arlauskis,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Robbie,Brady,1,3,719,11,253.0,151.2,116,51.6,1,0,1
Ashley,Westwood,0,0,551,9,64.3,50.8,2,11.8,1,0,3
Jordan,Ayew,1,4,867,7,122.5,141.0,219,47.9,5,0,1
Manolo,Gabbiadini,4,1,724,12,85.0,165.6,432,67.8,3,0,1
Alfred,N'Diaye,1,0,1273,30,98.3,158.8,137,39.1,4,0,7
Molla,Wagu�,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Luka,Milivojevic,2,0,1224,16,96.5,192.4,130,41.8,5,0,4
Kamil,Grosicki,0,5,1143,27,360.9,133.6,309,80.3,3,0,1
Thomas,Edwards,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Baily,Cargill,0,0,13,0,0.0,4.2,0,0.4,0,0,0
Mouez,Hassen,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Daniel,Agyei,0,0,25,0,0.3,1.0,11,0.8,0,0,0
Mart�n,C�ceres,0,0,90,1,1.1,19.6,6,2.7,0,0,0
Harry,Wilson,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Connor,Roberts,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Matthew,Willock,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Axel,Tuanzebe,0,0,303,4,27.7,32.6,18,7.8,2,0,0
Damian Emiliano,Martinez,0,0,180,3,0.0,30.6,0,3.1,1,0,0
Joe,Williams,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Dion,Pereira,0,0,25,1,14.6,4.2,4,2.3,0,0,0
Matt,Macey,0,0,0,0,0.0,0.0,0,0.0,0,0,0
James,Husband,0,0,58,3,1.5,1.2,0,0.3,0,0,0
Joel Dinis,Castro Pereira,0,0,90,0,0.0,7.4,0,0.7,1,0,0
Eduardo,Dos Reis Carvalho,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Moses,Makasi,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Nathan,Holland,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Rhian,Brewster,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Scott,McTominay,0,0,97,0,19.1,22.2,17,5.8,1,0,1
Angus,Gunn,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Demetri,Mitchell,0,0,90,0,31.6,24.8,0,5.6,1,0,0
Elliott,Moore,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Filip,Lesniak,0,1,5,0,11.2,18.6,0,3.0,0,0,0
Samuel,Shashoua,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Zachary,Dearnley,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Joshua,Harrop,1,0,90,0,20.2,36.2,21,7.7,1,0,0
Daniel,Kemp,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Daniel,Batty,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Aaron,Ramsdale,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Matthew,Worthington,0,0,17,0,0.7,1.0,0,0.2,0,0,0
Sam,Surridge,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Angel,Gomes,0,0,3,0,3.8,0.8,0,0.5,0,0,0
Kieran,O'Hara,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Gerhard,Tremmel,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Rene,Gilmartin,0,0,0,0,0.0,0.0,0,0.0,0,0,0
