first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost
Federico,Fernández,0,2,1482,24,63.7,350.0,70.0,48.5,3,0,2,44
Jamie,Sterry,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Sean,Longstaff,1,1,686,9,71.8,130.4,106.0,30.9,3,0,2,45
Frederick,Woodman,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Callum,Roberts,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Miguel,Almirón,0,2,758,11,189.8,121.4,235.0,54.6,3,0,0,60
Antonio,Barreca,0,0,4,0,0.0,0.2,0.0,0.0,0,0,0,41
Kelland,Watts,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Lewis,Cass,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Danny,Ings,7,3,1650,27,346.9,433.8,808.0,158.4,5,0,1,54
Alex,McCarthy,0,0,2250,44,0.0,585.2,0.0,58.6,4,0,1,43
Fraser,Forster,0,0,90,3,0.0,22.2,0.0,2.2,0,0,0,42
Ryan,Bertrand,1,0,2160,42,379.4,326.8,123.0,82.6,6,0,8,48
Maya,Yoshida,0,1,1518,29,57.4,387.0,189.0,63.4,3,0,0,41
Cédric,Soares,1,2,1493,31,226.5,309.0,103.0,63.9,4,0,4,42
Jack,Stephens,1,0,1697,35,65.5,394.4,143.0,60.4,3,0,4,42
Sam,McQueen,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Jan,Bednarek,0,1,2150,37,108.8,616.0,91.0,81.9,3,0,7,40
Wesley,Hoedt,0,0,1170,24,20.0,283.6,41.0,34.7,4,0,2,42
Steven,Davis,0,1,97,4,41.6,38.8,2.0,8.2,0,0,0,46
James,Ward-Prowse,7,0,1940,41,695.8,592.0,387.0,167.4,3,0,4,51
Oriol,Romeu Vidal,1,0,2131,37,158.4,455.2,124.0,74.0,6,0,11,42
Pierre-Emile,Højbjerg,4,3,2760,59,445.6,616.0,421.0,148.8,4,2,7,44
Sofiane,Boufal,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,55
Joshua,Sims,0,1,208,6,18.5,21.8,56.0,9.6,0,0,0,44
Nathan,Redmond,6,5,3272,58,802.3,665.4,950.0,241.4,9,0,3,55
Mario,Lemina,1,2,1612,37,214.7,313.0,188.0,71.6,4,0,5,47
Stuart,Armstrong,3,4,1421,26,392.4,305.6,379.0,107.5,5,0,2,51
Mohamed,Elyounoussi,0,0,785,10,228.3,94.2,220.0,54.2,4,0,0,60
Shane,Long,5,2,1260,24,179.2,248.6,417.0,84.2,2,0,3,47
Charlie,Austin,2,2,970,17,115.3,158.4,405.0,67.4,5,0,1,55
Manolo,Gabbiadini,1,0,468,12,72.7,74.4,167.0,30.8,0,0,0,56
Guido,Carrillo,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,55
Angus,Gunn,0,0,1080,18,0.0,239.2,0.0,23.8,3,0,0,43
Jannik,Vestergaard,0,0,2027,31,76.6,576.6,104.0,75.9,4,0,2,46
Matt,Targett,1,3,1185,25,366.8,314.2,181.0,86.2,0,0,2,42
