first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,element_type
Kurt,Zouma,1,0,2078,29,32.8,496.2,131.0,66.2,5,0,1,54,DEF
Mark,Noble,1,0,325,5,14.2,82.4,34.0,13.1,1,0,0,43,MID
Darren,Randolph,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43,GK
Lukasz,Fabianski,0,0,3330,50,0.0,887.0,0.0,88.6,8,0,2,50,GK
Angelo,Ogbonna,1,0,921,11,5.3,167.0,67.0,24.0,3,0,1,49,DEF
Winston,Reid,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39,DEF
Aaron,Cresswell,2,4,2726,38,542.4,575.0,151.0,127.0,7,0,3,54,DEF
Andriy,Yarmolenko,1,0,303,4,62.9,75.2,150.0,28.5,1,0,1,50,MID
Michail,Antonio,10,10,2975,43,613.5,611.6,1263.0,247.6,7,1,6,73,FWD
Craig,Dawson,2,3,2752,43,61.6,684.2,387.0,113.5,6,1,4,49,DEF
Ryan,Fredericks,0,0,303,6,31.6,29.6,4.0,6.6,0,0,1,44,DEF
Manuel,Lanzini,5,3,1777,29,367.2,420.2,201.0,99.1,4,0,2,56,MID
Arthur,Masuaku,1,1,645,12,57.2,178.2,39.0,27.5,1,0,1,44,DEF
Vladimir,Coufal,0,4,2207,36,331.5,415.8,161.0,90.6,6,1,3,47,DEF
Saïd,Benrahma,8,6,2162,27,476.4,561.0,737.0,177.6,9,0,0,59,MID
Jarrod,Bowen,12,17,2987,46,624.6,819.4,1201.0,264.7,8,0,6,69,MID
Declan,Rice,1,4,3178,49,391.0,740.2,277.0,141.3,8,0,8,50,MID
Tomas,Soucek,5,1,3061,46,299.8,653.4,686.0,164.3,6,0,3,57,MID
Pablo,Fornals,6,4,2795,38,704.4,569.0,528.0,180.2,8,0,4,59,MID
Issa,Diop,0,1,961,19,21.3,225.6,44.0,29.1,2,0,0,42,DEF
Ben,Johnson,1,0,1397,18,176.1,307.2,39.0,52.3,3,0,1,39,DEF
Alphonse,Areola,0,0,90,1,0.0,20.4,0.0,2.0,0,0,0,47,GK
Frederik,Alves,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Conor,Coventry,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Jamal,Baptiste,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39,DEF
Nikola,Vlasic,1,0,549,10,122.8,85.4,115.0,32.3,1,0,0,56,MID
Alex,Kral,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,44,MID
Harrison,Ashby,0,0,6,1,1.0,2.0,0.0,0.3,0,0,0,40,DEF
Sonny,Perkins,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Ajibola,Alese,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Armstrong,Oko-Flex,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44,MID
